# SIMULATION: eb
# MODEL_VERSION: 5.0.1
YEAR	MONTH	DAY	OUT_R_NET	 OUT_SWNET	 OUT_LWNET	 OUT_IN_LONG	 OUT_SENSIBLE	 OUT_LATENT	 OUT_GRND_FLUX	 OUT_ENERGY_ERROR	 OUT_ALBEDO	 OUT_AERO_RESIST	 OUT_WIND	 OUT_AIR_TEMP	 OUT_SURF_TEMP	 OUT_REL_HUMID
2009	01	01	-9.2376	 34.7100	 -43.9476	 240.7648	 -2.0345	 6.9786	 -18.6085	 11.7677	 0.6298	 128.4961	 1.5758	 -2.8673	 -1.7461	 65.6049
2009	01	02	-14.9142	 10.8139	 -25.7281	 258.3399	 -2.2237	 1.4722	 -4.7799	 -6.0413	 0.8375	 325.4841	 1.4904	 -2.0166	 -4.1289	 70.0798
2009	01	03	-16.1773	 12.8184	 -28.9957	 244.1736	 -3.1198	 0.5324	 -2.7420	 -11.9052	 0.8478	 249.4338	 1.6324	 -3.0051	 -7.1645	 64.9377
2009	01	04	-21.6374	 12.7682	 -34.4056	 232.3853	 -16.5775	 0.0000	 -3.2217	 -23.6601	 0.8496	 73.4983	 4.2584	 -5.8321	 -8.6419	 64.0988
2009	01	05	-14.2788	 12.1479	 -26.4266	 235.8867	 -3.2320	 0.0000	 -3.7452	 -11.7766	 0.8496	 170.0896	 1.7328	 -5.8720	 -9.8840	 68.6134
2009	01	06	-2.1052	 6.8037	 -8.9088	 267.0124	 -0.6400	 0.0000	 -2.8163	 -2.2835	 0.8496	 424.9090	 0.5637	 -4.1282	 -6.9419	 76.0932
2009	01	07	-15.3355	 15.2855	 -30.6210	 243.5129	 -2.9717	 0.1875	 -2.7972	 -11.8951	 0.8405	 304.7194	 1.4003	 -1.8572	 -6.7867	 67.8196
2009	01	08	-9.4713	 16.4942	 -25.9655	 248.5477	 -1.6575	 0.3058	 -2.8928	 -7.4359	 0.8289	 601.2131	 0.7019	 -0.7241	 -6.7263	 65.0556
2009	01	09	-30.1606	 23.5825	 -53.7431	 230.1991	 -26.3103	 7.8435	 -1.7242	 -40.5976	 0.8164	 77.2348	 4.5359	 0.4837	 -4.2889	 55.4960
2009	01	10	-23.5334	 30.2764	 -53.8097	 232.4902	 -10.3374	 3.9943	 -1.0774	 -33.3968	 0.7718	 73.9147	 3.2790	 1.2185	 -3.6494	 53.0484
2009	01	11	-17.3364	 28.5157	 -45.8522	 240.3206	 -2.2397	 1.7801	 -2.5241	 -21.9183	 0.7696	 131.3771	 2.2890	 1.0418	 -3.7639	 59.2510
2009	01	12	-12.0717	 48.5629	 -60.6345	 253.7408	 -27.4871	 -1.0232	 1.1400	 -21.7467	 0.5112	 26.3236	 5.4619	 4.2867	 0.4486	 57.7420
2009	01	13	25.3564	 99.4336	 -74.0773	 254.2927	 -7.2796	 15.6755	 0.3925	 3.1532	 0.1684	 14.5477	 3.8025	 4.9409	 2.7785	 55.1695
2009	01	14	30.0445	 107.5779	 -77.5334	 244.9604	 -4.9600	 18.3174	 -0.8781	 8.6093	 0.1494	 16.0900	 3.3031	 3.7193	 2.2517	 54.4092
2009	01	15	30.9406	 106.6283	 -75.6877	 250.4168	 -4.9451	 24.2938	 -0.0988	 4.6865	 0.1494	 13.8051	 3.8530	 4.5254	 3.4410	 54.4449
2009	01	16	31.2644	 112.0084	 -80.7440	 249.3249	 -14.8439	 35.1642	 0.1750	 6.1123	 0.1494	 10.8635	 4.8997	 5.2271	 4.6552	 51.1457
2009	01	17	33.6350	 113.2371	 -79.6020	 241.2548	 7.1153	 31.2026	 -1.2183	 -0.0000	 0.1494	 12.4751	 4.2491	 3.2287	 3.0615	 51.9211
2009	01	18	34.5943	 113.4824	 -78.8881	 240.9588	 5.0767	 29.0994	 -0.2759	 -0.0000	 0.1494	 11.0973	 4.7894	 2.9294	 2.8450	 52.9594
2009	01	19	35.0573	 110.6018	 -75.5445	 245.4217	 8.2744	 27.1397	 -0.2594	 0.0000	 0.1494	 10.9002	 4.8751	 3.1300	 3.1117	 55.3452
2009	01	20	25.6857	 74.8592	 -49.1736	 268.2755	 0.4713	 22.8979	 -4.5197	 2.0628	 0.3152	 26.0785	 3.4039	 3.0132	 3.4366	 59.8861
2009	01	21	3.1909	 44.1632	 -40.9723	 273.1750	 -20.5577	 11.8668	 -3.9925	 5.0101	 0.4446	 35.4104	 2.7301	 3.6844	 0.9604	 62.6578
2009	01	22	7.0220	 42.7236	 -35.7016	 281.2754	 -21.1175	 21.2959	 -0.7777	 4.0850	 0.4258	 45.6763	 2.1451	 4.5367	 1.6769	 65.0639
2009	01	23	2.4623	 40.0838	 -37.6215	 271.5221	 -6.6920	 11.9342	 -1.7088	 -2.3647	 0.5093	 65.0167	 1.6116	 2.7691	 0.3175	 68.9303
2009	01	24	2.2199	 22.0268	 -19.8069	 288.9006	 -6.7906	 18.9801	 -1.1617	 1.4755	 0.5950	 43.3960	 2.6541	 1.2090	 0.7749	 76.8468
2009	01	25	-13.3168	 11.0907	 -24.4075	 264.1841	 -8.0926	 3.9034	 -3.4553	 -8.3682	 0.8280	 79.5727	 3.5934	 -2.2318	 -3.4238	 74.3651
2009	01	26	-7.1743	 10.4964	 -17.6707	 247.6554	 -0.5067	 0.0000	 -2.9536	 -2.9032	 0.8500	 199.1864	 0.7585	 -6.6003	 -8.9522	 77.8770
2009	01	27	-9.9586	 13.3702	 -23.3289	 239.6208	 -1.9886	 0.0000	 -3.2988	 -7.3401	 0.8499	 139.3084	 1.2740	 -6.0926	 -9.7742	 74.7762
2009	01	28	-17.4614	 21.2502	 -38.7116	 226.0959	 -3.2539	 0.2140	 -3.2641	 -13.2969	 0.8405	 157.0922	 1.4710	 -3.8199	 -9.0454	 72.3634
2009	01	29	-22.6959	 21.7884	 -44.4843	 239.8975	 -15.8548	 2.6104	 -2.0648	 -24.5980	 0.8317	 74.0393	 4.2619	 -1.4881	 -4.7180	 73.5788
2009	01	30	-20.9915	 35.9769	 -56.9685	 242.8676	 -20.2520	 3.4940	 -0.0993	 -30.8176	 0.7174	 52.2539	 4.5156	 2.3256	 -1.7859	 67.6497
2009	01	31	3.4245	 61.2370	 -57.8125	 251.2518	 -3.3219	 13.1688	 0.0601	 -16.0612	 0.5781	 38.5980	 3.0951	 3.5386	 1.1553	 67.6653
2009	02	01	3.2096	 65.4315	 -62.2219	 248.2214	 -2.7552	 11.4827	 -0.8321	 -10.6186	 0.5086	 32.0924	 3.2103	 3.1589	 1.0375	 66.1119
2009	02	02	21.6454	 90.5105	 -68.8651	 242.1594	 -4.6366	 15.9582	 -0.9816	 2.4057	 0.3988	 21.2999	 3.8089	 2.2957	 0.3565	 65.4463
