# SIMULATION: eb
# MODEL_VERSION: 5.0.1
YEAR	MONTH	DAY	OUT_R_NET	 OUT_SWNET	 OUT_LWNET	 OUT_IN_LONG	 OUT_SENSIBLE	 OUT_LATENT	 OUT_GRND_FLUX	 OUT_ENERGY_ERROR	 OUT_ALBEDO	 OUT_AERO_RESIST	 OUT_WIND	 OUT_AIR_TEMP	 OUT_SURF_TEMP
2009	01	01	5.9471	 56.1568	 -50.2097	 239.6401	 -6.0487	 13.4733	 -21.5744	 29.1110	 0.4607	 198.2871	 1.6268	 -2.5239	 0.3418
2009	01	02	-17.3367	 10.1275	 -27.4642	 263.4749	 0.0000	 2.1235	 -6.1065	 -5.8813	 0.8500	 444.8420	 1.2953	 -1.0455	 -2.1293
2009	01	03	-16.2264	 12.4071	 -28.6335	 246.5100	 0.0000	 0.1750	 -6.4845	 -17.5850	 0.8500	 355.5935	 1.6204	 -2.4294	 -6.5746
2009	01	04	-20.2978	 12.3731	 -32.6709	 236.1953	 0.0000	 0.0000	 -6.1118	 -33.2949	 0.8500	 138.5938	 4.1575	 -5.0731	 -8.0706
2009	01	05	-15.4977	 12.3320	 -27.8297	 239.3035	 0.0000	 0.0000	 -5.4183	 -17.6866	 0.8500	 330.7334	 1.7422	 -4.5329	 -8.5548
2009	01	06	-1.1252	 5.6125	 -6.7377	 273.9944	 0.0000	 0.0000	 -3.5052	 -2.3189	 0.8500	 1121.0190	 0.5140	 -3.6272	 -5.7872
2009	01	07	-17.8284	 14.6664	 -32.4948	 243.3682	 0.0000	 0.0129	 -3.8045	 -18.4698	 0.8500	 396.0163	 1.4550	 -1.2406	 -6.1906
2009	01	08	-12.3427	 14.8968	 -27.2394	 248.6414	 0.0000	 0.0992	 -3.9632	 -11.9061	 0.8500	 778.3382	 0.7403	 0.1038	 -6.2492
2009	01	09	-32.0106	 19.4252	 -51.4358	 233.2805	 0.0000	 2.4378	 -2.8688	 -59.1756	 0.8500	 128.4306	 4.4865	 1.2856	 -3.9097
2009	01	10	-28.9010	 19.5832	 -48.4842	 236.7237	 0.0000	 2.0065	 -2.9101	 -48.5557	 0.8500	 169.1285	 3.4069	 1.8410	 -3.6770
2009	01	11	-21.7006	 32.0917	 -53.7923	 244.1553	 0.0000	 -2.7449	 -2.7151	 -33.3759	 0.6084	 147.8793	 2.3667	 2.4188	 -2.9568
2009	01	12	25.5382	 98.6332	 -73.0950	 255.3807	 -19.1805	 14.5975	 -0.3891	 0.5445	 0.1472	 10.7871	 5.4947	 4.9932	 1.4846
2009	01	13	30.4125	 103.2523	 -72.8398	 256.6150	 -21.2300	 37.6368	 -0.2589	 7.2305	 0.1243	 14.7393	 3.9093	 5.4402	 4.1308
2009	01	14	34.7736	 112.9609	 -78.1873	 244.1075	 -9.8428	 44.7992	 -0.1367	 0.0000	 0.1243	 16.7857	 3.4327	 4.0795	 3.3808
2009	01	15	34.3134	 112.5709	 -78.2575	 250.1008	 -19.1546	 50.6615	 0.0671	 0.0000	 0.1243	 14.5469	 3.9610	 5.3057	 4.6850
2009	01	16	33.4507	 115.3681	 -81.9173	 249.6122	 -24.7647	 57.3859	 0.0376	 -0.0000	 0.1243	 11.6348	 4.9524	 5.6990	 5.3297
2009	01	17	35.6150	 115.1118	 -79.4968	 243.2472	 -5.2012	 44.6786	 -0.3536	 -0.0000	 0.1243	 13.5161	 4.2631	 3.8426	 3.4923
2009	01	18	35.9930	 114.1129	 -78.1200	 243.7540	 -4.7414	 40.4171	 -0.1145	 -0.0000	 0.1243	 12.1069	 4.7593	 3.4730	 3.3141
