# SIMULATION: eb
# MODEL_VERSION: 5.0.1
YEAR	MONTH	DAY	OUT_R_NET	 OUT_SWNET	 OUT_LWNET	 OUT_IN_LONG	 OUT_SENSIBLE	 OUT_LATENT	 OUT_GRND_FLUX	 OUT_ENERGY_ERROR	 OUT_ALBEDO	 OUT_AERO_RESIST	 OUT_WIND	 OUT_AIR_TEMP	 OUT_SURF_TEMP	 OUT_REL_HUMID
2009	01	01	-27.5151	 14.2202	 -41.7354	 211.7649	 14.0966	 0.0000	 -30.4441	 1.6809	 0.8449	 264.7802	 1.5675	 -9.9156	 -8.2894	 59.7808
2009	01	02	-12.5885	 11.6979	 -24.2864	 231.7059	 -11.2504	 0.0000	 -4.8966	 -1.6230	 0.8500	 245.1150	 1.7625	 -7.3905	 -11.7390	 62.4186
2009	01	03	-14.1966	 14.3248	 -28.5214	 213.0221	 -13.4434	 0.0000	 -3.2247	 -2.5532	 0.8496	 186.9414	 1.6764	 -9.4474	 -15.7612	 54.6241
2009	01	04	-32.6614	 21.8682	 -54.5296	 178.8856	 -59.0135	 0.0000	 -3.7733	 -4.9460	 0.8212	 28.1834	 4.3987	 -15.0912	 -17.7349	 57.0015
2009	01	05	-12.3078	 13.3283	 -25.6361	 205.0870	 -11.7183	 0.0000	 -4.6079	 -2.0426	 0.8500	 81.9783	 1.6386	 -13.2545	 -18.6705	 62.9021
2009	01	06	-5.6970	 11.7088	 -17.4057	 231.8667	 -5.6185	 0.0000	 -3.6105	 -1.0182	 0.8500	 508.6588	 0.7352	 -7.5954	 -13.7146	 59.4491
2009	01	07	-14.4053	 21.4543	 -35.8596	 213.7016	 -12.9513	 0.0000	 -3.7746	 -2.5442	 0.8212	 340.5813	 1.2622	 -5.3002	 -13.6051	 51.8142
2009	01	08	-7.9981	 24.5274	 -32.5255	 215.8215	 -7.2082	 0.7324	 -4.1215	 -1.5923	 0.7861	 565.2572	 0.7162	 -5.7805	 -14.0023	 51.1025
2009	01	09	-29.3392	 30.0193	 -59.3584	 200.6287	 -97.0709	 0.0000	 -3.2783	 -7.1833	 0.7770	 36.6363	 4.7013	 -6.2683	 -10.8070	 44.4460
2009	01	10	-23.0322	 32.5131	 -55.5453	 196.7380	 -43.6325	 0.0000	 -4.8997	 -5.0340	 0.7361	 56.4866	 3.0880	 -8.1444	 -12.8604	 46.5663
2009	01	11	-6.6399	 41.9121	 -48.5519	 205.6100	 -20.7509	 0.1085	 -5.3045	 0.5443	 0.6538	 91.2230	 2.0785	 -6.5172	 -12.8812	 46.7832
2009	01	12	-18.2233	 46.5937	 -64.8169	 205.3858	 -112.1121	 0.7199	 -1.4120	 -0.5621	 0.6109	 23.4190	 5.3944	 -4.9303	 -8.7923	 42.6163
2009	01	13	1.4759	 73.4503	 -71.9744	 205.2242	 -32.8714	 1.4352	 -0.1466	 1.8722	 0.4494	 28.0390	 3.6146	 -4.9423	 -7.1913	 41.6414
2009	01	14	17.9953	 94.2799	 -76.2846	 203.9007	 8.5326	 2.1612	 -2.2536	 0.5830	 0.3032	 28.2372	 2.9074	 -5.5988	 -6.2829	 43.1080
2009	01	15	17.3310	 95.8293	 -78.4984	 206.7812	 6.4049	 2.6313	 -0.6577	 0.4959	 0.2606	 19.6650	 3.6874	 -4.9223	 -5.1987	 42.5212
2009	01	16	30.1118	 111.9519	 -81.8401	 203.6192	 26.1334	 2.8618	 -2.1704	 2.2256	 0.1927	 12.3652	 4.8385	 -5.4497	 -5.0964	 41.9908
2009	01	17	31.8317	 113.1461	 -81.3144	 202.4751	 33.5195	 2.6383	 -3.1398	 0.0000	 0.1927	 14.1743	 4.1816	 -5.9255	 -5.3863	 42.0780
2009	01	18	33.7350	 113.1640	 -79.4290	 200.3155	 36.6551	 1.6168	 -3.7010	 0.0000	 0.1927	 12.4674	 4.7783	 -6.8586	 -6.3233	 43.7627
2009	01	19	34.1662	 114.9273	 -80.7611	 204.2630	 28.8888	 2.7774	 -0.2904	 0.0000	 0.1927	 12.3879	 4.8371	 -5.5106	 -5.0978	 42.7236
2009	01	20	33.9635	 108.4210	 -74.4575	 208.2006	 38.2477	 1.2924	 -3.9141	 0.0000	 0.1927	 17.6798	 3.3219	 -6.1923	 -5.5693	 47.8350
2009	01	21	-20.7420	 16.5003	 -37.2423	 234.3181	 -29.3595	 0.1224	 -9.1023	 -2.5091	 0.8403	 121.0866	 2.7266	 -4.1446	 -7.3781	 50.1041
2009	01	22	-13.4142	 13.9898	 -27.4040	 242.7831	 -16.5631	 0.1112	 -2.0159	 -2.1363	 0.8482	 149.6237	 2.1576	 -4.2794	 -8.3237	 56.5026
2009	01	23	-8.3358	 12.5514	 -20.8872	 244.0865	 -8.3646	 0.0000	 -1.9628	 -1.5450	 0.8500	 194.4627	 1.5571	 -5.4080	 -9.6540	 66.0535
2009	01	24	-5.4034	 8.1130	 -13.5164	 262.5868	 -23.8525	 0.0000	 -1.6722	 -1.5133	 0.8500	 52.7983	 2.8831	 -5.0769	 -6.9299	 72.3039
2009	01	25	-15.0428	 12.2935	 -27.3362	 237.8648	 -38.6114	 0.0000	 -1.8264	 -2.5230	 0.8500	 34.5488	 3.7627	 -7.4087	 -9.5019	 66.4591
2009	01	26	-11.4708	 13.8887	 -25.3595	 214.1591	 -3.5197	 0.0000	 -2.5148	 -0.6238	 0.8500	 64.4899	 0.7699	 -12.4567	 -15.9911	 67.0070
2009	01	27	-8.4248	 15.4440	 -23.8688	 209.0657	 -8.0767	 0.0000	 -2.9053	 -1.3669	 0.8500	 47.4522	 1.1709	 -12.6015	 -17.9447	 66.7817
2009	01	28	-11.9428	 23.4701	 -35.4129	 206.1801	 -10.9104	 0.0000	 -2.7373	 -2.2356	 0.8212	 59.7485	 1.4288	 -9.4842	 -15.5946	 62.1125
2009	01	29	-26.1064	 31.8589	 -57.9653	 198.3090	 -70.1699	 0.0000	 -2.3094	 -5.5744	 0.7950	 31.1085	 4.2697	 -8.2103	 -11.8009	 57.1228
2009	01	30	-23.4664	 34.6254	 -58.0918	 205.2488	 -74.8098	 0.0000	 -2.0708	 -5.6643	 0.7770	 31.0991	 4.5068	 -6.4624	 -9.9513	 55.7471
2009	01	31	-19.3947	 37.7110	 -57.1057	 208.1726	 -41.9245	 0.0000	 -2.0098	 -4.3603	 0.7623	 52.8856	 3.0437	 -5.3875	 -9.4303	 54.8796
2009	02	01	-17.7596	 40.0264	 -57.7861	 209.6316	 -48.2126	 0.0000	 -1.9477	 -4.6641	 0.7496	 48.3707	 3.2809	 -4.9443	 -8.9171	 53.6703
2009	02	02	-16.3866	 42.5501	 -58.9366	 205.8386	 -54.5617	 0.0000	 -2.0522	 -4.8038	 0.7382	 38.9434	 3.6343	 -5.9694	 -9.5847	 54.7265
2009	02	03	-13.9883	 45.7821	 -59.7704	 211.0991	 -63.3580	 1.2643	 -1.8756	 -5.5430	 0.7262	 42.9990	 3.7689	 -3.9239	 -8.1232	 51.5689
2009	02	04	-9.8723	 49.1703	 -59.0426	 215.2200	 -41.4420	 7.2089	 -1.7728	 -4.5827	 0.7016	 68.2030	 3.0047	 -3.0081	 -7.3078	 52.9964
2009	02	05	-15.2402	 18.6627	 -33.9029	 246.0315	 -26.6464	 1.5631	 -1.5844	 -2.9634	 0.8409	 92.7943	 2.5618	 -1.9711	 -6.0117	 55.0812
2009	02	06	-14.3292	 15.5292	 -29.8584	 238.7707	 -22.2177	 0.0000	 -1.9296	 -1.9866	 0.8500	 48.0706	 2.4910	 -5.8614	 -8.6778	 62.0881
2009	02	07	-7.2748	 10.3304	 -17.6053	 243.8238	 -19.9695	 0.0000	 -2.1076	 -1.1511	 0.8500	 34.1330	 2.9143	 -9.0442	 -10.4914	 72.1632
2009	02	08	-9.4187	 15.4285	 -24.8472	 225.9505	 -6.0696	 0.0000	 -2.4602	 -1.0452	 0.8500	 46.4995	 1.3095	 -9.6759	 -13.1410	 66.7390
2009	02	09	-18.7616	 18.4527	 -37.2143	 214.9381	 -47.0900	 0.0000	 -2.4481	 -3.2655	 0.8500	 28.8251	 3.9560	 -10.1852	 -12.8829	 58.4949
2009	02	10	-10.0241	 18.5510	 -28.5751	 198.9294	 -0.6561	 0.0000	 -3.3833	 -0.1483	 0.8500	 84.2512	 0.5843	 -15.1895	 -19.2176	 67.7545
2009	02	11	-8.5315	 16.4965	 -25.0280	 216.9686	 -22.8282	 0.0000	 -3.0099	 -2.4789	 0.8500	 35.2476	 2.4529	 -11.7385	 -15.7123	 66.7320
