# SIMULATION: eb
# MODEL_VERSION: 5.0.1
YEAR	MONTH	DAY	OUT_R_NET	 OUT_SWNET	 OUT_LWNET	 OUT_IN_LONG	 OUT_SENSIBLE	 OUT_LATENT	 OUT_GRND_FLUX	 OUT_ENERGY_ERROR	 OUT_ALBEDO	 OUT_AERO_RESIST	 OUT_WIND	 OUT_AIR_TEMP	 OUT_SURF_TEMP
2009	01	01	0.6105	 50.3059	 -49.6954	 271.9515	 12.1218	 24.1530	 -20.2196	 2.2929	 0.4451	 100.0552	 1.4998	 4.1104	 3.4378
2009	01	02	-11.7390	 10.4866	 -22.2256	 276.9483	 -5.1191	 4.2569	 -10.5299	 -0.6000	 0.7842	 230.8346	 1.3136	 0.8155	 -1.3355
2009	01	03	-10.0396	 15.1872	 -25.2268	 269.4458	 -15.8492	 0.7257	 -4.7304	 -2.2489	 0.7699	 149.5336	 1.7648	 2.7688	 -2.8899
2009	01	04	-14.9869	 20.3045	 -35.2914	 261.0631	 -65.9957	 21.5280	 -8.6256	 0.0314	 0.7622	 36.1465	 3.8709	 0.5232	 -1.5637
2009	01	05	-0.5113	 34.7396	 -35.2509	 263.8461	 -18.5385	 14.7236	 -5.9504	 1.4201	 0.5236	 128.7867	 1.8945	 1.6674	 -1.1983
2009	01	06	19.4659	 17.6029	 1.8630	 311.5569	 -1.4700	 18.7518	 -1.1919	 0.0000	 0.1882	 584.3820	 0.3799	 2.4717	 0.7698
2009	01	07	16.8641	 49.4015	 -32.5374	 282.2499	 7.8464	 5.6703	 -0.2444	 -0.0000	 0.1882	 72.5424	 1.4947	 2.3351	 1.8649
2009	01	08	18.8805	 66.6894	 -47.8089	 271.2553	 13.7435	 6.3409	 -1.6488	 0.0000	 0.1882	 206.0354	 0.7878	 3.4991	 2.7660
2009	01	09	15.4388	 81.9645	 -66.5257	 260.9248	 0.3903	 10.2055	 0.8682	 0.0000	 0.1882	 10.5628	 4.1740	 4.5703	 4.5445
2009	01	10	16.0765	 85.7018	 -69.6253	 251.5840	 14.2780	 8.7869	 -4.3736	 0.0000	 0.1882	 12.6562	 3.4353	 3.1489	 3.2070
2009	01	11	16.5321	 98.5493	 -82.0172	 250.1069	 -9.6389	 15.9689	 3.0840	 -0.0000	 0.1882	 19.6218	 2.5282	 5.8458	 5.3871
2009	01	12	16.0676	 96.0232	 -79.9556	 253.1293	 3.3122	 14.4388	 -2.1670	 -0.0000	 0.1882	 8.1177	 5.4025	 5.6565	 5.6667
2009	01	13	16.1046	 97.7362	 -81.6316	 258.2702	 -3.4623	 17.6614	 0.2896	 0.0000	 0.1882	 10.9412	 4.0310	 7.1752	 7.0596
2009	01	14	15.8550	 101.6336	 -85.7787	 258.6135	 -9.1789	 20.8371	 1.0491	 0.0000	 0.1882	 11.7227	 3.7865	 8.1358	 7.8934
2009	01	15	16.3509	 102.3011	 -85.9502	 258.7017	 -2.2705	 19.8382	 -1.3771	 0.0000	 0.1882	 11.3107	 3.8942	 8.0941	 7.9636
2009	01	16	16.2161	 103.3693	 -87.1532	 262.1007	 -6.9721	 20.6784	 0.4199	 0.0000	 0.1882	 8.9750	 4.9059	 8.9594	 8.8676
2009	01	17	17.6482	 103.6877	 -86.0395	 260.9714	 1.8230	 19.3332	 -2.2087	 0.0000	 0.1882	 10.3332	 4.2456	 8.5175	 8.4566
2009	01	18	18.3551	 104.7675	 -86.4123	 261.2412	 -0.5807	 19.5102	 -0.9456	 0.0000	 0.1882	 9.1821	 4.7824	 8.6161	 8.5751
2009	01	19	19.0202	 105.9159	 -86.8956	 261.6885	 -0.2716	 19.7032	 -0.8131	 0.0000	 0.1882	 8.8905	 4.9383	 8.7878	 8.7545
2009	01	20	21.1795	 106.7318	 -85.5523	 261.6657	 4.3485	 18.5790	 -1.5675	 0.0000	 0.1882	 12.6325	 3.4819	 8.5693	 8.4935
2009	01	21	16.6380	 69.0532	 -52.4152	 292.7369	 -34.4061	 43.1813	 -2.0755	 1.6284	 0.3305	 28.9400	 2.6985	 9.3872	 8.0633
2009	01	22	28.9308	 69.0910	 -40.1602	 314.3063	 -21.2454	 47.2155	 0.3679	 0.0000	 0.1882	 28.7575	 2.0879	 11.2939	 10.0993
2009	01	23	15.5787	 17.3761	 -1.7975	 344.6612	 2.1615	 27.0387	 -6.7120	 -0.0000	 0.1882	 25.7110	 1.6468	 8.7219	 8.5693
2009	01	24	21.2708	 39.3904	 -18.1196	 325.7735	 -7.1341	 34.6820	 -2.2008	 0.0000	 0.1882	 19.5042	 2.3166	 8.4052	 8.0273
2009	01	25	24.9023	 63.0694	 -38.1671	 291.6358	 0.9829	 40.4404	 -7.4544	 0.0000	 0.1882	 12.8399	 3.3716	 5.3075	 5.0724
