# SIMULATION: eb
# MODEL_VERSION: 5.0.1
YEAR	MONTH	DAY	OUT_R_NET	 OUT_SWNET	 OUT_LWNET	 OUT_IN_LONG	 OUT_SENSIBLE	 OUT_LATENT	 OUT_GRND_FLUX	 OUT_ENERGY_ERROR	 OUT_ALBEDO	 OUT_AERO_RESIST	 OUT_WIND	 OUT_AIR_TEMP	 OUT_SURF_TEMP	 OUT_REL_HUMID
2009	01	01	-13.2279	 29.5405	 -42.7684	 214.4733	 -1.1517	 1.9937	 -26.1508	 24.8310	 0.7234	 324.9248	 1.6063	 -8.7772	 -3.6584	 57.5976
2009	01	02	-9.6638	 8.8523	 -18.5161	 250.7840	 0.0000	 0.0000	 -5.3243	 -7.7687	 0.8500	 431.7314	 1.4585	 -5.6692	 -7.3398	 71.4017
2009	01	03	-14.6350	 12.8000	 -27.4350	 232.8501	 0.0000	 0.0000	 -3.1493	 -16.2082	 0.8500	 387.5671	 1.6247	 -5.6896	 -9.9222	 64.2779
2009	01	04	-19.0581	 12.4142	 -31.4723	 223.2330	 0.0000	 0.0000	 -3.8566	 -27.9926	 0.8500	 147.3074	 4.2746	 -8.7612	 -11.3693	 64.0263
2009	01	05	-14.4243	 12.9982	 -27.4225	 223.5424	 0.0000	 0.0000	 -4.3882	 -16.2037	 0.8500	 373.8528	 1.6843	 -8.1318	 -12.3235	 63.7012
2009	01	06	-2.5020	 7.0466	 -9.5485	 253.1137	 0.0000	 0.0000	 -3.3014	 -3.2229	 0.8500	 1056.3332	 0.5961	 -7.2542	 -9.9553	 73.1102
2009	01	07	-15.0224	 14.6910	 -29.7134	 228.5932	 0.0000	 0.0000	 -3.4633	 -15.1262	 0.8500	 454.1837	 1.3864	 -5.5733	 -10.1963	 64.5413
2009	01	08	-10.2582	 15.2939	 -25.5521	 230.2357	 0.0000	 0.0000	 -3.8874	 -9.6478	 0.8500	 892.9102	 0.7052	 -4.9823	 -10.8397	 61.7998
2009	01	09	-31.0816	 20.9299	 -52.0116	 215.9754	 0.0000	 0.5955	 -2.5692	 -49.7093	 0.8500	 137.3648	 4.5840	 -2.9478	 -7.4662	 52.1563
2009	01	10	-30.4160	 21.2672	 -51.6832	 221.2518	 0.0000	 1.3419	 -2.1027	 -42.3415	 0.7774	 148.4188	 3.2987	 -1.9766	 -6.3529	 50.3657
2009	01	11	-11.5294	 44.3039	 -55.8333	 228.5935	 0.0000	 1.1025	 -1.5266	 -21.5356	 0.5315	 57.9914	 2.2587	 -1.7113	 -5.0003	 53.8567
2009	01	12	1.8542	 72.0168	 -70.1626	 234.5314	 -7.2261	 4.9402	 0.2729	 -21.6535	 0.3331	 15.0432	 5.4727	 0.9328	 -2.4783	 51.3504
2009	01	13	15.7590	 87.3263	 -71.5672	 239.4489	 -7.3423	 12.8736	 0.7761	 -2.3570	 0.2245	 18.1326	 3.8038	 1.6388	 -0.5681	 49.7267
