# SIMULATION: eb
# MODEL_VERSION: 5.0.1
YEAR	MONTH	DAY	OUT_R_NET	 OUT_SWNET	 OUT_LWNET	 OUT_IN_LONG	 OUT_SENSIBLE	 OUT_LATENT	 OUT_GRND_FLUX	 OUT_ENERGY_ERROR	 OUT_ALBEDO	 OUT_AERO_RESIST	 OUT_WIND	 OUT_AIR_TEMP	 OUT_SURF_TEMP
2009	01	01	16.4557	 63.0477	 -46.5920	 283.7945	 -1.7782	 43.4374	 -8.7178	 2.3720	 0.2454	 50.3056	 1.4251	 6.5450	 5.2459
2009	01	02	13.2368	 44.8986	 -31.6618	 284.7446	 -19.3173	 39.4531	 -5.8265	 3.7798	 0.2854	 61.7392	 1.4097	 4.3326	 2.0672
2009	01	03	12.5692	 47.6837	 -35.1145	 278.7935	 -34.1982	 45.3241	 -3.4222	 5.3808	 0.3298	 67.6657	 1.8163	 4.6513	 1.3833
2009	01	04	6.4665	 48.2160	 -41.7495	 269.3469	 -36.5229	 29.5726	 -4.5840	 8.0674	 0.4091	 37.7648	 3.8182	 2.5097	 1.0916
2009	01	05	13.0662	 51.0970	 -38.0308	 274.5536	 -21.7783	 26.2822	 -5.0336	 5.0099	 0.4283	 89.8720	 1.9557	 3.6681	 1.8255
2009	01	06	16.6101	 21.0083	 -4.3982	 318.3701	 -0.6108	 14.3368	 -0.2520	 0.0000	 0.1828	 201.2104	 0.3898	 4.5447	 3.6141
2009	01	07	17.9863	 43.9953	 -26.0090	 300.9876	 -5.6570	 20.4357	 0.2464	 0.0000	 0.1828	 45.7947	 1.4762	 5.2831	 4.4900
2009	01	08	18.9070	 53.7723	 -34.8653	 297.1393	 -0.2117	 17.6710	 -0.0268	 -0.0000	 0.1828	 95.2187	 0.7586	 6.4417	 5.5257
2009	01	09	15.3916	 61.4292	 -46.0377	 291.0634	 -14.7581	 27.1702	 0.2805	 -0.0000	 0.1828	 13.7825	 4.0644	 6.7440	 6.5811
2009	01	10	15.8275	 64.4598	 -48.6322	 285.2765	 -9.2620	 27.7173	 -2.0405	 -0.0408	 0.2247	 18.2438	 3.4099	 6.2833	 6.0237
2009	01	11	20.2524	 96.4170	 -76.1646	 264.2732	 -24.9613	 40.2468	 1.0179	 0.0000	 0.1828	 22.8131	 2.5575	 8.3674	 7.1721
2009	01	12	16.9385	 91.0665	 -74.1280	 270.7678	 -23.1529	 38.6629	 -0.3550	 -0.0000	 0.1828	 10.4648	 5.3518	 8.3288	 8.1544
2009	01	13	18.4344	 95.1984	 -76.7639	 273.0234	 -29.6297	 45.8846	 0.4934	 0.0000	 0.1828	 13.8882	 4.0466	 9.6806	 9.1209
2009	01	14	18.8029	 98.8667	 -80.0638	 271.8039	 -29.9846	 46.9154	 0.2417	 -0.0000	 0.1828	 14.4441	 3.8917	 10.1506	 9.5007
2009	01	15	19.1695	 99.8204	 -80.6509	 273.1162	 -27.4857	 45.7517	 -0.0270	 -0.0000	 0.1828	 14.5909	 3.8498	 10.4748	 9.8769
2009	01	16	17.9476	 101.0706	 -83.1231	 275.0085	 -31.1586	 47.3553	 0.3757	 0.0000	 0.1828	 11.5041	 4.8748	 11.0628	 10.7231
2009	01	17	19.6514	 101.8469	 -82.1954	 271.8546	 -21.3229	 43.3264	 -0.9755	 -0.0000	 0.1828	 13.1972	 4.2444	 10.3189	 9.9285
2009	01	18	19.7502	 102.7840	 -83.0339	 272.0552	 -23.5940	 43.3252	 -0.2461	 0.0000	 0.1828	 11.6275	 4.8186	 10.3865	 10.1275
2009	01	19	20.3892	 104.1487	 -83.7596	 272.1382	 -23.1961	 42.8599	 -0.1129	 0.0000	 0.1828	 11.2361	 4.9869	 10.4896	 10.2759
2009	01	20	23.8429	 103.7832	 -79.9403	 273.1757	 -12.4152	 38.6640	 -0.9150	 -0.0000	 0.1828	 15.9415	 3.5140	 10.2236	 9.7574
2009	01	21	35.0953	 78.0125	 -42.9172	 303.0736	 -58.6964	 95.6049	 -0.6127	 0.0000	 0.1828	 21.8242	 2.6832	 11.0081	 8.3383
2009	01	22	40.2618	 65.6015	 -25.3397	 325.3583	 -54.6916	 93.6724	 -0.0653	 -0.0000	 0.1828	 30.5562	 2.0518	 12.7744	 9.3649
2009	01	23	21.1118	 19.0982	 2.0137	 352.7282	 -13.8167	 38.0477	 -1.8069	 -0.0000	 0.1828	 34.5810	 1.6260	 10.5487	 9.4262
2009	01	24	27.0610	 39.0903	 -12.0292	 333.8109	 -27.6934	 62.0116	 -1.4225	 0.0000	 0.1828	 24.6824	 2.2958	 9.9373	 8.4259
2009	01	25	30.4068	 61.4898	 -31.0830	 300.3037	 -40.3415	 83.7931	 -3.5896	 0.0000	 0.1828	 16.6975	 3.3380	 6.8595	 5.4182
2009	01	26	11.9441	 40.0719	 -28.1278	 283.3343	 -0.2541	 19.8341	 -10.6794	 8.4454	 0.4115	 124.0695	 0.9696	 1.5893	 1.0270
