# SIMULATION: eb
# MODEL_VERSION: 5.0.1
YEAR	MONTH	DAY	OUT_R_NET	 OUT_SWNET	 OUT_LWNET	 OUT_IN_LONG	 OUT_SENSIBLE	 OUT_LATENT	 OUT_GRND_FLUX	 OUT_ENERGY_ERROR	 OUT_ALBEDO	 OUT_AERO_RESIST	 OUT_WIND	 OUT_AIR_TEMP	 OUT_SURF_TEMP
2009	01	01	-5.8198	 33.6250	 -39.4448	 246.2645	 -1.1897	 4.3463	 -18.3342	 15.1944	 0.6472	 247.5043	 1.5725	 -2.8495	 -0.4734
2009	01	02	-16.9869	 10.7702	 -27.7571	 253.7125	 0.0000	 1.2957	 -6.1904	 -8.6654	 0.8500	 400.3422	 1.4566	 -2.6779	 -4.3281
2009	01	03	-16.2702	 12.3995	 -28.6698	 241.0418	 0.0000	 0.0097	 -2.6254	 -16.6131	 0.8500	 357.0090	 1.6334	 -3.8247	 -7.7760
2009	01	04	-21.5737	 12.8287	 -34.4025	 228.6318	 0.0000	 0.0000	 -3.1172	 -32.1211	 0.8500	 137.9491	 4.2272	 -6.5672	 -9.3662
2009	01	05	-14.3968	 11.6862	 -26.0830	 233.2737	 0.0000	 0.0000	 -3.6180	 -15.4567	 0.8500	 332.1212	 1.7558	 -6.9376	 -10.4630
2009	01	06	-1.7818	 6.4373	 -8.2191	 265.0830	 0.0000	 0.0000	 -2.9909	 -2.8254	 0.8500	 1089.3676	 0.5353	 -4.9056	 -7.6121
2009	01	07	-16.4833	 14.0335	 -30.5168	 242.5210	 0.0000	 0.0000	 -2.8822	 -15.9184	 0.8500	 410.2564	 1.4214	 -2.3526	 -6.8830
2009	01	08	-11.2940	 14.1254	 -25.4194	 247.6261	 0.0000	 0.0094	 -2.9535	 -9.9089	 0.8500	 826.2092	 0.7058	 -1.2163	 -6.8628
2009	01	09	-33.3091	 19.7313	 -53.0403	 227.3349	 0.0000	 1.1915	 -2.4817	 -53.5275	 0.8500	 129.5575	 4.5010	 -0.1471	 -4.8857
2009	01	10	-30.7005	 20.3670	 -51.0675	 229.0780	 0.0000	 1.1733	 -2.4814	 -45.7740	 0.8500	 176.5000	 3.3039	 0.7157	 -4.7216
2009	01	11	-25.1582	 18.7845	 -43.9427	 236.7779	 0.0000	 0.3568	 -2.5745	 -28.8276	 0.8500	 250.8554	 2.3246	 0.1708	 -4.6934
2009	01	12	-19.2677	 35.5228	 -54.7904	 257.2998	 0.0000	 -11.9773	 -1.3965	 -40.4861	 0.5472	 60.5118	 5.4667	 3.9140	 -1.0513
2009	01	13	28.2616	 102.8981	 -74.6365	 250.9006	 -9.3028	 11.7672	 -0.6902	 2.7132	 0.1298	 15.2216	 3.8310	 4.3088	 0.8320
2009	01	14	30.7400	 107.5882	 -76.8482	 244.1374	 -5.9670	 15.9852	 -1.2365	 6.0579	 0.1298	 17.3100	 3.3688	 3.3377	 0.7991
2009	01	15	32.4138	 106.1999	 -73.7862	 249.0030	 -10.2020	 23.7949	 -1.2118	 7.2669	 0.1298	 15.0670	 3.8703	 3.8280	 2.1541
2009	01	16	33.5724	 113.4152	 -79.8427	 247.9140	 -23.6341	 39.6046	 -0.3087	 9.5587	 0.1298	 11.8904	 4.9043	 4.8370	 3.8279
2009	01	17	36.3948	 115.4479	 -79.0531	 239.1114	 1.9992	 38.1180	 -0.3712	 -0.0000	 0.1298	 13.7022	 4.2558	 2.7649	 2.5005
2009	01	18	37.1742	 116.5439	 -79.3698	 238.2935	 -0.5375	 36.7980	 -0.0782	 -0.0000	 0.1298	 12.1726	 4.7906	 2.5315	 2.3834
2009	01	19	37.6057	 112.3949	 -74.7892	 242.4653	 7.3517	 30.8784	 -0.1779	 0.0000	 0.1298	 11.9456	 4.8816	 2.3748	 2.3323
2009	01	20	28.2166	 74.4739	 -46.2573	 266.8111	 1.5321	 26.6145	 -5.9194	 1.0817	 0.3156	 54.7118	 3.4165	 2.4901	 2.8964
2009	01	21	-14.6476	 23.1401	 -37.7877	 269.3335	 -13.3929	 -6.7971	 -5.8296	 -4.3358	 0.5050	 110.3634	 2.7281	 2.8265	 -0.4222
2009	01	22	13.0830	 48.9151	 -35.8320	 283.1561	 -20.9770	 24.5499	 -0.8203	 3.9530	 0.3431	 43.5879	 2.1429	 4.6464	 1.8384
2009	01	23	3.2189	 31.8910	 -28.6721	 279.5641	 -5.0508	 17.1594	 -1.5777	 -4.8326	 0.5780	 85.6085	 1.6200	 2.5211	 0.5857
2009	01	24	2.1895	 22.5879	 -20.3983	 284.1963	 -4.2098	 17.6627	 -1.3780	 0.2881	 0.6079	 67.9866	 2.6176	 0.3736	 0.0124
2009	01	25	-12.2524	 10.5854	 -22.8379	 260.3632	 0.0000	 0.6719	 -3.0921	 -13.7232	 0.8500	 163.5549	 3.5654	 -3.2565	 -4.5019
2009	01	26	-7.2856	 10.2316	 -17.5172	 245.3684	 0.0000	 0.0000	 -2.6417	 -3.9683	 0.8500	 762.5716	 0.7647	 -7.3634	 -9.3055
2009	01	27	-10.6934	 13.2328	 -23.9262	 236.7985	 0.0000	 0.0000	 -3.0284	 -10.3180	 0.8500	 453.5925	 1.2856	 -6.8367	 -10.1583
2009	01	28	-19.2710	 19.9961	 -39.2670	 222.7860	 0.0000	 0.0000	 -3.1104	 -18.3524	 0.8500	 396.2346	 1.4717	 -4.4806	 -9.5226
2009	01	29	-23.9222	 18.9037	 -42.8259	 236.7215	 0.0000	 0.0899	 -2.4286	 -31.9400	 0.8500	 136.9963	 4.2566	 -2.5403	 -5.8635
2009	01	30	-28.5030	 23.3852	 -51.8881	 239.3384	 0.0000	 1.3171	 -1.8376	 -46.4605	 0.8373	 115.7359	 4.5131	 1.5063	 -2.6392
2009	01	31	-12.6607	 41.3872	 -54.0479	 248.0925	 -0.3151	 -3.0676	 -1.5748	 -21.2065	 0.7057	 87.4180	 3.0991	 2.6630	 -1.3339
2009	02	01	-0.5197	 58.4230	 -58.9427	 244.6579	 -6.2988	 3.9581	 -1.2172	 -6.4636	 0.5994	 44.0982	 3.2003	 2.3792	 -0.7246
2009	02	02	0.6389	 62.0411	 -61.4023	 238.7769	 3.6518	 12.6851	 -0.9304	 -20.6560	 0.5994	 36.7826	 3.8368	 1.5864	 -0.6145
2009	02	03	5.5914	 71.0329	 -65.4415	 242.8460	 2.9774	 9.5532	 -0.9031	 -17.2129	 0.5015	 30.9586	 3.7699	 2.7383	 0.0663
2009	02	04	29.4629	 97.3131	 -67.8502	 255.0359	 1.9945	 14.7758	 -0.7324	 -2.4780	 0.2916	 25.0872	 2.9847	 4.7849	 1.7868
2009	02	05	22.0107	 71.1381	 -49.1274	 275.6262	 -8.6794	 -4.1528	 -0.9469	 29.2670	 0.3714	 39.6105	 2.5176	 4.4670	 1.6868
2009	02	06	-11.6855	 11.7515	 -23.4370	 271.1975	 -0.7485	 4.8182	 -4.4945	 -3.8156	 0.8168	 194.8303	 2.8040	 -1.0371	 -1.8252
2009	02	07	-8.7639	 11.6551	 -20.4190	 265.0617	 0.0000	 0.0349	 -3.4292	 -11.4097	 0.8500	 205.2221	 2.8415	 -2.6465	 -4.3149
2009	02	08	-15.4849	 15.9416	 -31.4265	 255.1588	 0.0000	 3.4709	 -2.2322	 -4.8552	 0.8500	 443.9239	 1.3136	 -1.6074	 -3.5210
2009	02	09	-17.7340	 17.7198	 -35.4538	 235.7559	 0.0000	 0.0726	 -2.6378	 -20.1417	 0.8500	 157.2268	 3.7089	 -4.9143	 -7.3595
2009	02	10	-9.4749	 16.9876	 -26.4625	 225.0981	 0.0000	 0.0000	 -3.4285	 -3.7318	 0.8500	 1197.4096	 0.4870	 -8.6106	 -11.5435
2009	02	11	-12.5466	 16.7451	 -29.2917	 231.5527	 0.0000	 0.0000	 -3.3210	 -17.8987	 0.8500	 228.4846	 2.5522	 -7.3749	 -10.8378
2009	02	12	-2.2494	 9.6560	 -11.9054	 260.3641	 0.0000	 0.0000	 -2.7920	 -6.5942	 0.8500	 412.1994	 1.4147	 -5.7433	 -8.2780
2009	02	13	-9.2923	 13.4862	 -22.7785	 250.7787	 0.0000	 0.0000	 -2.6259	 -14.5007	 0.8500	 190.0650	 3.0681	 -5.2987	 -7.4162
2009	02	14	-8.4392	 12.7293	 -21.1685	 253.3096	 0.0000	 0.0000	 -2.5611	 -13.0776	 0.8500	 173.5376	 3.3603	 -5.3975	 -7.1972
2009	02	15	-7.7268	 11.8166	 -19.5435	 260.1335	 0.0000	 0.0000	 -2.4180	 -19.6200	 0.8500	 103.6635	 5.6253	 -4.5105	 -6.0952
2009	02	16	-4.1630	 9.3338	 -13.4968	 267.4558	 0.0000	 0.0000	 -2.3164	 -13.8719	 0.8500	 106.0580	 5.4983	 -4.6296	 -5.7506
