# SIMULATION: eb
# MODEL_VERSION: 5.0.1
YEAR	MONTH	DAY	OUT_R_NET	 OUT_SWNET	 OUT_LWNET	 OUT_IN_LONG	 OUT_SENSIBLE	 OUT_LATENT	 OUT_GRND_FLUX	 OUT_ENERGY_ERROR	 OUT_ALBEDO	 OUT_AERO_RESIST	 OUT_WIND	 OUT_AIR_TEMP	 OUT_SURF_TEMP
2009	01	01	17.0970	 64.5610	 -47.4640	 286.1124	 7.0457	 29.9139	 -6.3670	 1.4259	 0.2407	 43.9816	 1.5887	 6.5652	 5.9950
2009	01	02	22.4872	 57.3038	 -34.8167	 289.7542	 -16.0215	 48.0185	 -3.5078	 1.5853	 0.1894	 58.3297	 1.2647	 5.8742	 3.7967
2009	01	03	14.9210	 56.2578	 -41.3368	 275.3964	 -17.4984	 32.7592	 -4.7815	 5.2650	 0.3280	 74.1246	 1.6797	 4.1312	 2.2511
2009	01	04	10.3386	 55.7181	 -45.3795	 264.6593	 -18.8376	 22.4224	 -6.9070	 1.4181	 0.4328	 39.7472	 4.0237	 1.8318	 2.1372
2009	01	05	10.9938	 48.4669	 -37.4731	 270.5816	 -14.6627	 22.8759	 -7.1764	 4.1308	 0.4386	 102.8765	 1.8278	 2.4199	 1.3293
2009	01	06	17.2804	 22.2240	 -4.9436	 310.7866	 -0.2073	 16.0947	 -0.6584	 0.0000	 0.1825	 177.9774	 0.4270	 3.0868	 2.0916
2009	01	07	25.1806	 72.3819	 -47.2013	 278.0196	 -6.5944	 24.4039	 1.2581	 -0.0000	 0.1825	 48.6177	 1.5007	 5.7816	 4.0634
2009	01	08	24.7501	 76.0428	 -51.2927	 283.1834	 -0.0331	 22.7971	 0.4729	 -0.0000	 0.1825	 91.0559	 0.7786	 7.8138	 6.0077
2009	01	09	17.8482	 94.4295	 -76.5812	 266.6151	 -26.7990	 36.5038	 1.5179	 -0.0000	 0.1825	 13.1508	 4.3486	 8.2147	 7.7881
2009	01	10	19.3230	 94.5640	 -75.2410	 268.9900	 -16.4840	 35.6625	 -0.2151	 0.0000	 0.1825	 16.6190	 3.4426	 8.6402	 8.0072
2009	01	11	22.7962	 95.3686	 -72.5724	 276.6291	 -18.3840	 37.1609	 0.6409	 -0.0000	 0.1825	 24.1895	 2.4663	 10.1741	 8.9983
2009	01	12	18.4806	 92.3606	 -73.8800	 289.9849	 -33.5346	 44.3518	 1.8118	 0.0000	 0.1825	 10.4186	 5.4740	 12.2025	 11.9474
2009	01	13	18.9554	 93.7580	 -74.8026	 288.1038	 -21.8608	 44.9214	 -0.4877	 0.0000	 0.1825	 14.3067	 3.9813	 12.2138	 11.7616
2009	01	14	20.3074	 102.7802	 -82.4728	 273.5352	 -23.7215	 44.0847	 -0.3139	 -0.0000	 0.1825	 15.7845	 3.6207	 10.9940	 10.3105
2009	01	15	20.2003	 102.9614	 -82.7611	 277.7280	 -26.8715	 45.0861	 0.4383	 0.0000	 0.1825	 14.4505	 3.9522	 11.8129	 11.2077
2009	01	16	19.2470	 104.0465	 -84.7995	 278.4122	 -27.6049	 45.2056	 0.3747	 0.0000	 0.1825	 11.5334	 4.9412	 12.0163	 11.7298
2009	01	17	21.4390	 103.1904	 -81.7514	 277.0766	 -16.1416	 40.3717	 -0.8838	 0.0000	 0.1825	 13.3519	 4.2625	 11.2568	 10.9113
2009	01	18	22.0396	 102.9594	 -80.9198	 277.5508	 -15.8072	 37.8623	 -0.2247	 0.0000	 0.1825	 11.9427	 4.7662	 11.0289	 10.8478
