0	10.74	2.608	1.5
1	6.706	2.175	1.8
2	7.344	1.303	3
3	7.066	1.953	2
4	5.99	1.955	2
5	4.453	1.631	2.4
6	6.326	1.567	2.5
7	7.718	1.262	3.1
8	8.235	1.627	2.4
9	7.604	2.3	1.7
10	10.74	2.608	1.5
11	10.74	2.608	1.5
12	5.558	2.614	1.5
13	5.558	2.614	1.5
14	5.558	2.614	1.5
15	10.74	2.608	1.5
16	4.372	0.978	4
